,loss,accuracy,val_loss,val_accuracy,lr
2,0.17505529522895813,0.9451706409454346,0.1457560658454895,0.9607558250427246,0.0002
3,0.19652025401592255,0.9379084706306458,0.12623019516468048,0.9651162624359131,0.0002
4,0.1824590414762497,0.940994918346405,0.16089971363544464,0.9534883499145508,0.0002
5,0.16690444946289062,0.9415395855903625,0.13375334441661835,0.9622092843055725,4.376631e-06
6,0.17220129072666168,0.9420842528343201,0.12795940041542053,0.9651162624359131,4.157799e-06
7,0.156705841422081,0.9449890851974487,0.12635137140750885,0.9665697813034058,3.9499096e-06
8,0.15297137200832367,0.9493464231491089,0.12478567659854889,0.9651162624359131,3.752414e-06
9,0.1510808914899826,0.9497095346450806,0.12310226261615753,0.9665697813034058,3.5647931e-06
10,0.14644095301628113,0.9511619210243225,0.12212017923593521,0.9651162624359131,3.3865535e-06
11,0.1521121859550476,0.9500726461410522,0.12032497674226761,0.9665697813034058,3.2172259e-06
12,0.15619076788425446,0.946986198425293,0.12206356972455978,0.9651162624359131,3.0563647e-06
13,0.15300245583057404,0.9515250325202942,0.11928358674049377,0.9665697813034058,2.9035464e-06
14,0.1403799057006836,0.956245481967926,0.11878449469804764,0.9636628031730652,2.758369e-06
15,0.14087805151939392,0.9526143670082092,0.11965867131948471,0.9651162624359131,2.6204507e-06
16,0.1394425928592682,0.9547930359840393,0.11918937414884567,0.9665697813034058,2.489428e-06
17,0.15914565324783325,0.9506173133850098,0.12077038735151291,0.9680232405662537,2.3649566e-06
